x-axis,1,2,MATH
second,Volt,Volt,Volt
+32.0000E-06,+3.7460937500E+00,+5.1640625000E+00,+1.4185075265E+00
+32.1000E-06,+3.7539062500E+00,+5.1640625000E+00,+1.4106950264E+00
+32.2000E-06,+3.7617187500E+00,+5.1679687500E+00,+1.4060075263E+00
+32.3000E-06,+3.7617187500E+00,+5.1640625000E+00,+1.4056169013E+00
+32.4000E-06,+3.7656250000E+00,+5.1640625000E+00,+1.3997575262E+00
+32.5000E-06,+3.7773437500E+00,+5.1679687500E+00,+1.3923356511E+00
+32.6000E-06,+3.7851562500E+00,+5.1718750000E+00,+1.3860856510E+00
+32.7000E-06,+3.7890625000E+00,+5.1718750000E+00,+1.3817887760E+00
+32.8000E-06,+3.7812500000E+00,+5.1601562500E+00,+1.3821794010E+00
+32.9000E-06,+3.7851562500E+00,+5.1640625000E+00,+1.3767106509E+00
+33.0000E-06,+3.8085937500E+00,+5.1757812500E+00,+1.3657731507E+00
+33.1000E-06,+3.8125000000E+00,+5.1757812500E+00,+1.3622575257E+00
+33.2000E-06,+3.8085937500E+00,+5.1679687500E+00,+1.3618669007E+00
+33.3000E-06,+3.8085937500E+00,+5.1679687500E+00,+1.3595231506E+00
+33.4000E-06,+3.8164062500E+00,+5.1718750000E+00,+1.3532731505E+00
+33.5000E-06,+3.8281250000E+00,+5.1718750000E+00,+1.3470231504E+00
+33.6000E-06,+3.8320312500E+00,+5.1757812500E+00,+1.3438981504E+00
+33.7000E-06,+3.8281250000E+00,+5.1679687500E+00,+1.3411637754E+00
+33.8000E-06,+3.8398437500E+00,+5.1757812500E+00,+1.3368669003E+00
+33.9000E-06,+3.8515625000E+00,+5.1796875000E+00,+1.3251481501E+00
+34.0000E-06,+3.8398437500E+00,+5.1718750000E+00,+1.3294450252E+00
+34.1000E-06,+3.8515625000E+00,+5.1796875000E+00,+1.3263200251E+00
+34.2000E-06,+3.8671875000E+00,+5.1796875000E+00,+1.3142106500E+00
+34.3000E-06,+3.8632812500E+00,+5.1757812500E+00,+1.3110856499E+00
+34.4000E-06,+3.8710937500E+00,+5.1796875000E+00,+1.3091325249E+00
+34.5000E-06,+3.8710937500E+00,+5.1718750000E+00,+1.3040543998E+00
+34.6000E-06,+3.8789062500E+00,+5.1796875000E+00,+1.2997575247E+00
+34.7000E-06,+3.8906250000E+00,+5.1835937500E+00,+1.2919450246E+00
+34.8000E-06,+3.8867187500E+00,+5.1757812500E+00,+1.2888200246E+00
+34.9000E-06,+3.8906250000E+00,+5.1757812500E+00,+1.2864762745E+00
+35.0000E-06,+3.9023437500E+00,+5.1796875000E+00,+1.2751481494E+00
+35.1000E-06,+3.9218750000E+00,+5.1835937500E+00,+1.2630387742E+00
+35.2000E-06,+3.9335937500E+00,+5.1953125000E+00,+1.2591325241E+00
+35.3000E-06,+3.9101562500E+00,+5.1718750000E+00,+1.2614762742E+00
+35.4000E-06,+3.9101562500E+00,+5.1718750000E+00,+1.2626481492E+00
+35.5000E-06,+3.9375000000E+00,+5.1835937500E+00,+1.2489762740E+00
+35.6000E-06,+3.9609375000E+00,+5.1953125000E+00,+1.2329606487E+00
+35.7000E-06,+3.9648437500E+00,+5.1914062500E+00,+1.2278825237E+00
+35.8000E-06,+3.9414062500E+00,+5.1718750000E+00,+1.2329606487E+00
+35.9000E-06,+3.9453125000E+00,+5.1757812500E+00,+1.2310075237E+00
+36.0000E-06,+3.9960937500E+00,+5.1992187500E+00,+1.2056168983E+00
+36.1000E-06,+3.9843750000E+00,+5.1875000000E+00,+1.2024918983E+00
+36.2000E-06,+3.9609375000E+00,+5.1757812500E+00,+1.2146012735E+00
+36.3000E-06,+3.9765625000E+00,+5.1835937500E+00,+1.2071793984E+00
+36.4000E-06,+4.0000000000E+00,+5.1875000000E+00,+1.1868668981E+00
+36.5000E-06,+4.0039062500E+00,+5.1875000000E+00,+1.1841325230E+00
+36.6000E-06,+3.9921875000E+00,+5.1835937500E+00,+1.1892106481E+00
+36.7000E-06,+4.0117187500E+00,+5.1914062500E+00,+1.1794450229E+00
+36.8000E-06,+4.0156250000E+00,+5.1835937500E+00,+1.1696793978E+00
+36.9000E-06,+4.0312500000E+00,+5.1953125000E+00,+1.1634293977E+00
+37.0000E-06,+4.0507812500E+00,+5.1992187500E+00,+1.1481950225E+00
+37.1000E-06,+4.0273437500E+00,+5.1796875000E+00,+1.1548356476E+00
+37.2000E-06,+4.0195312500E+00,+5.1757812500E+00,+1.1567887726E+00
+37.3000E-06,+4.0585937500E+00,+5.1953125000E+00,+1.1353043973E+00
+37.4000E-06,+4.0859375000E+00,+5.2070312500E+00,+1.1208512721E+00
+37.5000E-06,+4.0664062500E+00,+5.1914062500E+00,+1.1247575221E+00
+37.6000E-06,+4.0664062500E+00,+5.1914062500E+00,+1.1239762721E+00
+37.7000E-06,+4.0781250000E+00,+5.1914062500E+00,+1.1122575219E+00
+37.8000E-06,+4.0937500000E+00,+5.1992187500E+00,+1.1032731468E+00
+37.9000E-06,+4.1054687500E+00,+5.1992187500E+00,+1.0954606467E+00
+38.0000E-06,+4.0898437500E+00,+5.1875000000E+00,+1.0981950217E+00
+38.1000E-06,+4.1015625000E+00,+5.1953125000E+00,+1.0931168967E+00
+38.2000E-06,+4.1289062500E+00,+5.2070312500E+00,+1.0759293964E+00
+38.3000E-06,+4.1250000000E+00,+5.1992187500E+00,+1.0747575214E+00
+38.4000E-06,+4.0937500000E+00,+5.1796875000E+00,+1.0860856466E+00
+38.5000E-06,+4.1093750000E+00,+5.1914062500E+00,+1.0813981465E+00
+38.6000E-06,+4.1718750000E+00,+5.2187500000E+00,+1.0458512710E+00
+38.7000E-06,+4.1523437500E+00,+5.2031250000E+00,+1.0501481460E+00
+38.8000E-06,+4.1210937500E+00,+5.1835937500E+00,+1.0634293962E+00
+38.9000E-06,+4.1445312500E+00,+5.1953125000E+00,+1.0528825211E+00
+39.0000E-06,+4.1601562500E+00,+5.2031250000E+00,+1.0419450209E+00
+39.1000E-06,+4.1640625000E+00,+5.1992187500E+00,+1.0368668958E+00
+39.2000E-06,+4.1718750000E+00,+5.2031250000E+00,+1.0349137708E+00
+39.3000E-06,+4.1718750000E+00,+5.2031250000E+00,+1.0286637707E+00
+39.4000E-06,+4.1757812500E+00,+5.2031250000E+00,+1.0286637707E+00
+39.5000E-06,+4.2031250000E+00,+5.2148437500E+00,+1.0122575205E+00
+39.6000E-06,+4.1718750000E+00,+5.1953125000E+00,+1.0204606456E+00
+39.7000E-06,+4.1640625000E+00,+5.1953125000E+00,+1.0278825207E+00
+39.8000E-06,+4.2070312500E+00,+5.2148437500E+00,+1.0071793954E+00
+39.9000E-06,+4.2226562500E+00,+5.2187500000E+00,+993.8981452E-03
+40.0000E-06,+3.8750000000E+00,+4.9453125000E+00,+1.0688981463E+00
+40.1000E-06,+4.2890625000E+00,+5.3242187500E+00,+1.0345231458E+00
+40.2000E-06,+4.1367187500E+00,+5.1796875000E+00,+1.0415543959E+00
+40.3000E-06,+4.0937500000E+00,+5.1210937500E+00,+1.0251481457E+00
+40.4000E-06,+4.1015625000E+00,+5.1484375000E+00,+1.0466325210E+00
+40.5000E-06,+4.0859375000E+00,+5.1445312500E+00,+1.0563981461E+00
+40.6000E-06,+4.0976562500E+00,+5.1523437500E+00,+1.0540543961E+00
+40.7000E-06,+4.0742187500E+00,+5.1445312500E+00,+1.0696793963E+00
+40.8000E-06,+4.0312500000E+00,+5.1328125000E+00,+1.1013200218E+00
+40.9000E-06,+4.0351562500E+00,+5.1406250000E+00,+1.1044450218E+00
+41.0000E-06,+4.0390625000E+00,+5.1445312500E+00,+1.1040543968E+00
+41.1000E-06,+4.0156250000E+00,+5.1367187500E+00,+1.1235856471E+00
+41.2000E-06,+4.0039062500E+00,+5.1406250000E+00,+1.1376481473E+00
+41.3000E-06,+3.9843750000E+00,+5.1328125000E+00,+1.1501481475E+00
+41.4000E-06,+3.9726562500E+00,+5.1328125000E+00,+1.1595231477E+00
+41.5000E-06,+3.9648437500E+00,+5.1328125000E+00,+1.1673356478E+00
+41.6000E-06,+3.9453125000E+00,+5.1289062500E+00,+1.1813981480E+00
+41.7000E-06,+3.9335937500E+00,+5.1289062500E+00,+1.1923356481E+00
+41.8000E-06,+3.9335937500E+00,+5.1289062500E+00,+1.1974137732E+00
+41.9000E-06,+3.9296875000E+00,+5.1328125000E+00,+1.2040543983E+00
+42.0000E-06,+3.9179687500E+00,+5.1289062500E+00,+1.2118668984E+00
+42.1000E-06,+3.8945312500E+00,+5.1210937500E+00,+1.2271012737E+00
+42.2000E-06,+3.8789062500E+00,+5.1171875000E+00,+1.2396012738E+00
+42.3000E-06,+3.8867187500E+00,+5.1289062500E+00,+1.2419450239E+00
+42.4000E-06,+3.8828125000E+00,+5.1289062500E+00,+1.2450700239E+00
+42.5000E-06,+3.8632812500E+00,+5.1171875000E+00,+1.2548356491E+00
+42.6000E-06,+3.8437500000E+00,+5.1132812500E+00,+1.2696793993E+00
+42.7000E-06,+3.8632812500E+00,+5.1289062500E+00,+1.2669450243E+00
+42.8000E-06,+3.8515625000E+00,+5.1250000000E+00,+1.2712418993E+00
+42.9000E-06,+3.8203125000E+00,+5.1093750000E+00,+1.2888200246E+00
+43.0000E-06,+3.8203125000E+00,+5.1132812500E+00,+1.2942887747E+00
+43.1000E-06,+3.8320312500E+00,+5.1210937500E+00,+1.2899918996E+00
