x-axis,1,2,MATH
second,Volt,Volt,Volt
+24.5000E-06,+3.2265625000E+00,+5.1093750000E+00,+1.8860856585E+00
+24.6000E-06,+3.2109375000E+00,+5.0976562500E+00,+1.8884294085E+00
+24.7000E-06,+3.2109375000E+00,+5.0937500000E+00,+1.8837419084E+00
+24.8000E-06,+3.2421875000E+00,+5.1093750000E+00,+1.8681169082E+00
+24.9000E-06,+3.2656250000E+00,+5.1171875000E+00,+1.8505387830E+00
+25.0000E-06,+3.2656250000E+00,+5.1132812500E+00,+1.8474137829E+00
+25.1000E-06,+3.2656250000E+00,+5.1093750000E+00,+1.8427262828E+00
+25.2000E-06,+3.2773437500E+00,+5.1132812500E+00,+1.8349137827E+00
+25.3000E-06,+3.2812500000E+00,+5.1093750000E+00,+1.8263200326E+00
+25.4000E-06,+3.2929687500E+00,+5.1093750000E+00,+1.8185075325E+00
+25.5000E-06,+3.3125000000E+00,+5.1171875000E+00,+1.8024919072E+00
+25.6000E-06,+3.3242187500E+00,+5.1210937500E+00,+1.7946794071E+00
+25.7000E-06,+3.3281250000E+00,+5.1132812500E+00,+1.7876481570E+00
+25.8000E-06,+3.3398437500E+00,+5.1210937500E+00,+1.7790544069E+00
+25.9000E-06,+3.3476562500E+00,+5.1210937500E+00,+1.7728044068E+00
+26.0000E-06,+3.3515625000E+00,+5.1171875000E+00,+1.7681169067E+00
+26.1000E-06,+3.3593750000E+00,+5.1171875000E+00,+1.7587419066E+00
+26.2000E-06,+3.3671875000E+00,+5.1171875000E+00,+1.7521012815E+00
+26.3000E-06,+3.3828125000E+00,+5.1289062500E+00,+1.7423356563E+00
+26.4000E-06,+3.4023437500E+00,+5.1328125000E+00,+1.7302262812E+00
+26.5000E-06,+3.3828125000E+00,+5.1132812500E+00,+1.7321794062E+00
+26.6000E-06,+3.3750000000E+00,+5.1132812500E+00,+1.7368669063E+00
+26.7000E-06,+3.4218750000E+00,+5.1367187500E+00,+1.7142106559E+00
+26.8000E-06,+3.4453125000E+00,+5.1406250000E+00,+1.6927262806E+00
+26.9000E-06,+3.4179687500E+00,+5.1210937500E+00,+1.7063981558E+00
+27.0000E-06,+3.4062500000E+00,+5.1171875000E+00,+1.7106950309E+00
+27.1000E-06,+3.4335937500E+00,+5.1289062500E+00,+1.6962419057E+00
+27.2000E-06,+3.4531250000E+00,+5.1367187500E+00,+1.6806169054E+00
+27.3000E-06,+3.4492187500E+00,+5.1289062500E+00,+1.6810075304E+00
+27.4000E-06,+3.4570312500E+00,+5.1328125000E+00,+1.6755387803E+00
+27.5000E-06,+3.4609375000E+00,+5.1289062500E+00,+1.6681169052E+00
+27.6000E-06,+3.4804687500E+00,+5.1406250000E+00,+1.6575700301E+00
+27.7000E-06,+3.4960937500E+00,+5.1406250000E+00,+1.6466325299E+00
+27.8000E-06,+3.4531250000E+00,+5.1171875000E+00,+1.6630387802E+00
+27.9000E-06,+3.4687500000E+00,+5.1250000000E+00,+1.6579606551E+00
+28.0000E-06,+3.5156250000E+00,+5.1484375000E+00,+1.6294450297E+00
+28.1000E-06,+3.5312500000E+00,+5.1484375000E+00,+1.6173356545E+00
+28.2000E-06,+3.5156250000E+00,+5.1406250000E+00,+1.6235856546E+00
+28.3000E-06,+3.5000000000E+00,+5.1250000000E+00,+1.6278825296E+00
+28.4000E-06,+3.5195312500E+00,+5.1367187500E+00,+1.6157731545E+00
+28.5000E-06,+3.5429687500E+00,+5.1445312500E+00,+1.6009294042E+00
+28.6000E-06,+3.5390625000E+00,+5.1406250000E+00,+1.6013200292E+00
+28.7000E-06,+3.5468750000E+00,+5.1406250000E+00,+1.5935075291E+00
+28.8000E-06,+3.5585937500E+00,+5.1445312500E+00,+1.5845231540E+00
+28.9000E-06,+3.5703125000E+00,+5.1484375000E+00,+1.5778825289E+00
+29.0000E-06,+3.5625000000E+00,+5.1406250000E+00,+1.5759294039E+00
+29.1000E-06,+3.5703125000E+00,+5.1406250000E+00,+1.5704606538E+00
+29.2000E-06,+3.5859375000E+00,+5.1484375000E+00,+1.5634294037E+00
+29.3000E-06,+3.5898437500E+00,+5.1484375000E+00,+1.5560075286E+00
+29.4000E-06,+3.5976562500E+00,+5.1445312500E+00,+1.5497575285E+00
+29.5000E-06,+3.5976562500E+00,+5.1445312500E+00,+1.5462419034E+00
+29.6000E-06,+3.6015625000E+00,+5.1445312500E+00,+1.5427262784E+00
