x-axis,1,2,MATH
second,Volt,Volt,Volt
+32.0000E-06,+3.7382812500E+00,+5.1601562500E+00,+1.4212419016E+00
+32.1000E-06,+3.7617187500E+00,+5.1679687500E+00,+1.4075700263E+00
+32.2000E-06,+3.7578125000E+00,+5.1640625000E+00,+1.4052262763E+00
+32.3000E-06,+3.7695312500E+00,+5.1679687500E+00,+1.3981950262E+00
+32.4000E-06,+3.7695312500E+00,+5.1640625000E+00,+1.3927262761E+00
+32.5000E-06,+3.7656250000E+00,+5.1601562500E+00,+1.3931169011E+00
+32.6000E-06,+3.7773437500E+00,+5.1640625000E+00,+1.3864762760E+00
+32.7000E-06,+3.7851562500E+00,+5.1640625000E+00,+1.3802262759E+00
+32.8000E-06,+3.7851562500E+00,+5.1640625000E+00,+1.3771012759E+00
+32.9000E-06,+3.7968750000E+00,+5.1679687500E+00,+1.3728044008E+00
+33.0000E-06,+3.8203125000E+00,+5.1796875000E+00,+1.3571794006E+00
+33.1000E-06,+3.8125000000E+00,+5.1679687500E+00,+1.3579606506E+00
+33.2000E-06,+3.8085937500E+00,+5.1679687500E+00,+1.3595231506E+00
+33.3000E-06,+3.8125000000E+00,+5.1640625000E+00,+1.3548356506E+00
+33.4000E-06,+3.8046875000E+00,+5.1601562500E+00,+1.3552262756E+00
+33.5000E-06,+3.8242187500E+00,+5.1679687500E+00,+1.3454606504E+00
+33.6000E-06,+3.8515625000E+00,+5.1835937500E+00,+1.3329606502E+00
+33.7000E-06,+3.8398437500E+00,+5.1718750000E+00,+1.3321794002E+00
+33.8000E-06,+3.8359375000E+00,+5.1718750000E+00,+1.3337419002E+00
+33.9000E-06,+3.8476562500E+00,+5.1757812500E+00,+1.3274919002E+00
+34.0000E-06,+3.8242187500E+00,+5.1562500000E+00,+1.3321794002E+00
+34.1000E-06,+3.8593750000E+00,+5.1796875000E+00,+1.3200700250E+00
+34.2000E-06,+3.8945312500E+00,+5.1914062500E+00,+1.2974137747E+00
+34.3000E-06,+3.8710937500E+00,+5.1757812500E+00,+1.3063981498E+00
+34.4000E-06,+3.8593750000E+00,+5.1679687500E+00,+1.3087418999E+00
+34.5000E-06,+3.8593750000E+00,+5.1679687500E+00,+1.3060075248E+00
+34.6000E-06,+3.8828125000E+00,+5.1757812500E+00,+1.2946793997E+00
+34.7000E-06,+3.9062500000E+00,+5.1875000000E+00,+1.2810075245E+00
+34.8000E-06,+3.8945312500E+00,+5.1796875000E+00,+1.2841325245E+00
+34.9000E-06,+3.8789062500E+00,+5.1640625000E+00,+1.2884293996E+00
+35.0000E-06,+3.9101562500E+00,+5.1835937500E+00,+1.2755387744E+00
+35.1000E-06,+3.9570312500E+00,+5.2070312500E+00,+1.2470231490E+00
+35.2000E-06,+3.8867187500E+00,+5.1562500000E+00,+1.2704606493E+00
+35.3000E-06,+3.8789062500E+00,+5.1601562500E+00,+1.2833512745E+00
+35.4000E-06,+3.9335937500E+00,+5.1835937500E+00,+1.2524918990E+00
+35.5000E-06,+3.9687500000E+00,+5.1992187500E+00,+1.2302262737E+00
+35.6000E-06,+3.9648437500E+00,+5.1914062500E+00,+1.2290543987E+00
+35.7000E-06,+3.9218750000E+00,+5.1679687500E+00,+1.2454606489E+00
+35.8000E-06,+3.9414062500E+00,+5.1796875000E+00,+1.2384293988E+00
+35.9000E-06,+3.9882812500E+00,+5.1992187500E+00,+1.2095231484E+00
+36.0000E-06,+3.9648437500E+00,+5.1796875000E+00,+1.2161637735E+00
+36.1000E-06,+3.9531250000E+00,+5.1757812500E+00,+1.2224137736E+00
+36.2000E-06,+3.9687500000E+00,+5.1835937500E+00,+1.2153825235E+00
+36.3000E-06,+4.0039062500E+00,+5.1953125000E+00,+1.1911637731E+00
+36.4000E-06,+4.0156250000E+00,+5.1953125000E+00,+1.1813981480E+00
+36.5000E-06,+3.9921875000E+00,+5.1835937500E+00,+1.1923356481E+00
+36.6000E-06,+3.9882812500E+00,+5.1796875000E+00,+1.1919450231E+00
+36.7000E-06,+4.0117187500E+00,+5.1875000000E+00,+1.1771012729E+00
+36.8000E-06,+4.0234375000E+00,+5.1914062500E+00,+1.1673356478E+00
+36.9000E-06,+4.0312500000E+00,+5.1914062500E+00,+1.1606950227E+00
+37.0000E-06,+4.0312500000E+00,+5.1875000000E+00,+1.1595231477E+00
+37.1000E-06,+4.0429687500E+00,+5.1914062500E+00,+1.1501481475E+00
+37.2000E-06,+4.0507812500E+00,+5.1914062500E+00,+1.1407731474E+00
+37.3000E-06,+4.0585937500E+00,+5.1953125000E+00,+1.1341325223E+00
+37.4000E-06,+4.0625000000E+00,+5.1914062500E+00,+1.1282731472E+00
+37.5000E-06,+4.0585937500E+00,+5.1835937500E+00,+1.1274918972E+00
+37.6000E-06,+4.0781250000E+00,+5.1953125000E+00,+1.1157731470E+00
+37.7000E-06,+4.1015625000E+00,+5.2031250000E+00,+1.1005387718E+00
+37.8000E-06,+4.0937500000E+00,+5.1914062500E+00,+1.0974137717E+00
+37.9000E-06,+4.0625000000E+00,+5.1718750000E+00,+1.1110856469E+00
+38.0000E-06,+4.0937500000E+00,+5.1914062500E+00,+1.0978043967E+00
+38.1000E-06,+4.1484375000E+00,+5.2148437500E+00,+1.0692887713E+00
+38.2000E-06,+4.1289062500E+00,+5.1992187500E+00,+1.0696793963E+00
+38.3000E-06,+4.0976562500E+00,+5.1835937500E+00,+1.0849137715E+00
+38.4000E-06,+4.1054687500E+00,+5.1875000000E+00,+1.0817887715E+00
+38.5000E-06,+4.1406250000E+00,+5.1992187500E+00,+1.0618668962E+00
+38.6000E-06,+4.1523437500E+00,+5.2070312500E+00,+1.0524918961E+00
+38.7000E-06,+4.1367187500E+00,+5.1914062500E+00,+1.0560075211E+00
+38.8000E-06,+4.1328125000E+00,+5.1914062500E+00,+1.0575700211E+00
+38.9000E-06,+4.1562500000E+00,+5.2031250000E+00,+1.0466325210E+00
+39.0000E-06,+4.2109375000E+00,+5.2265625000E+00,+1.0161637705E+00
+39.1000E-06,+4.1484375000E+00,+5.1835937500E+00,+1.0364762708E+00
+39.2000E-06,+4.1132812500E+00,+5.1757812500E+00,+1.0614762712E+00
+39.3000E-06,+4.1640625000E+00,+5.1992187500E+00,+1.0368668958E+00
+39.4000E-06,+4.2070312500E+00,+5.2187500000E+00,+1.0091325204E+00
+39.5000E-06,+4.2031250000E+00,+5.2109375000E+00,+1.0071793954E+00
+39.6000E-06,+4.1718750000E+00,+5.1953125000E+00,+1.0220231456E+00
+39.7000E-06,+4.1718750000E+00,+5.1953125000E+00,+1.0235856456E+00
+39.8000E-06,+4.2226562500E+00,+5.2187500000E+00,+998.1950202E-03
+39.9000E-06,+4.2109375000E+00,+5.2070312500E+00,+995.8512702E-03
+40.0000E-06,+3.8515625000E+00,+4.9296875000E+00,+1.0794450215E+00
+40.1000E-06,+4.2890625000E+00,+5.3242187500E+00,+1.0345231458E+00
+40.2000E-06,+4.1523437500E+00,+5.1835937500E+00,+1.0329606458E+00
+40.3000E-06,+4.1132812500E+00,+5.1289062500E+00,+1.0161637705E+00
+40.4000E-06,+4.1132812500E+00,+5.1523437500E+00,+1.0419450209E+00
+40.5000E-06,+4.0703125000E+00,+5.1328125000E+00,+1.0618668962E+00
+40.6000E-06,+4.0859375000E+00,+5.1445312500E+00,+1.0622575212E+00
+40.7000E-06,+4.0781250000E+00,+5.1484375000E+00,+1.0677262713E+00
+40.8000E-06,+4.0390625000E+00,+5.1367187500E+00,+1.0950700217E+00
+40.9000E-06,+4.0312500000E+00,+5.1367187500E+00,+1.1056168968E+00
+41.0000E-06,+4.0429687500E+00,+5.1484375000E+00,+1.1048356468E+00
+41.1000E-06,+4.0351562500E+00,+5.1484375000E+00,+1.1118668969E+00
+41.2000E-06,+4.0000000000E+00,+5.1367187500E+00,+1.1360856473E+00
+41.3000E-06,+3.9609375000E+00,+5.1210937500E+00,+1.1622575227E+00
+41.4000E-06,+3.9609375000E+00,+5.1289062500E+00,+1.1669450228E+00
+41.5000E-06,+3.9765625000E+00,+5.1367187500E+00,+1.1610856477E+00
+41.6000E-06,+3.9648437500E+00,+5.1367187500E+00,+1.1731950229E+00
+41.7000E-06,+3.9414062500E+00,+5.1289062500E+00,+1.1853043980E+00
+41.8000E-06,+3.9296875000E+00,+5.1289062500E+00,+1.1985856482E+00
+41.9000E-06,+3.9296875000E+00,+5.1328125000E+00,+1.2028825233E+00
+42.0000E-06,+3.9140625000E+00,+5.1289062500E+00,+1.2134293985E+00
+42.1000E-06,+3.8906250000E+00,+5.1171875000E+00,+1.2278825237E+00
+42.2000E-06,+3.8828125000E+00,+5.1171875000E+00,+1.2356950238E+00
+42.3000E-06,+3.8906250000E+00,+5.1289062500E+00,+1.2376481488E+00
